DATETIME,OPEN,HIGH,LOW,CLOSE
2022-08-23,0.9942,1.0015,0.9902,0.9971
2022-08-24,0.9972,1.0,0.9911,0.9967
2022-08-25,0.9969,1.0035,0.9951,0.9976
2022-08-26,0.9975,1.0089,0.9947,0.9966
2022-08-29,0.9964,1.003,0.9915,0.9997
2022-08-30,1.0,1.0054,0.9983,1.0015
2022-08-31,1.0017,1.008,0.9972,1.0055
2022-09-01,1.0053,1.0058,0.9912,0.9948
2022-09-02,0.9946,1.0036,0.9943,0.9957
2022-09-05,0.9954,0.9954,0.9879,0.9933
2022-09-06,0.9931,0.9988,0.9867,0.9905
2022-09-07,0.9906,1.0012,0.9877,1.0008
2022-09-08,1.0007,1.0031,0.9934,0.9999
2022-09-09,1.0,1.0113,0.9997,1.0047
2022-09-12,1.0153,1.0199,1.0061,1.0122
2022-09-13,1.0125,1.0188,0.9967,0.9967
2022-09-14,0.9969,1.0025,0.996,0.9981
2022-09-15,0.9983,1.0019,0.9957,0.9999
2022-09-16,1.0002,1.0037,0.9946,1.0016
2022-09-19,1.0018,1.0031,0.9966,1.0025
2022-09-20,1.0022,1.0052,0.9956,0.997
2022-09-21,0.9972,0.9979,0.9816,0.9839
2022-09-22,0.9837,0.9909,0.9809,0.9838
2022-09-23,0.9835,0.9854,0.9668,0.969
2022-09-26,0.9693,0.9711,0.9556,0.9609
2022-09-27,0.9608,0.967,0.957,0.9596
2022-09-28,0.9594,0.9752,0.9539,0.9736
2022-09-29,0.9737,0.9816,0.9637,0.9815
2022-09-30,0.9816,0.9854,0.9735,0.9802
2022-10-03,0.9803,0.9846,0.9752,0.9825
2022-10-04,0.9826,1.0001,0.9807,0.9987
2022-10-05,0.9986,0.9996,0.9837,0.9885
2022-10-06,0.9886,0.9928,0.9789,0.9793
2022-10-07,0.9792,0.9818,0.9729,0.974
2022-10-10,0.9739,0.9754,0.9683,0.9704
2022-10-11,0.9695,0.9776,0.9673,0.9707
2022-10-12,0.9706,0.9735,0.9669,0.9703
2022-10-13,0.9705,0.9808,0.9635,0.978
2022-10-14,0.9777,0.981,0.9709,0.9722
2022-10-17,0.9722,0.9854,0.9712,0.9844
2022-10-18,0.9841,0.9877,0.9814,0.986
2022-10-19,0.9855,0.9872,0.9758,0.9775
2022-10-20,0.9773,0.9847,0.9755,0.9788
2022-10-21,0.9789,0.987,0.9706,0.9864
2022-10-24,0.9862,0.9901,0.9808,0.9875
2022-10-25,0.9876,0.9979,0.985,0.9968
2022-10-26,0.9967,1.009,0.9944,1.0086
2022-10-27,1.0085,1.0096,0.9958,0.9966
2022-10-28,0.9965,1.0,0.9929,0.9966
2022-10-31,0.9966,0.9967,0.9873,0.9883
2022-11-01,0.9885,0.9954,0.9854,0.9874
2022-11-02,0.9878,0.9977,0.9813,0.9818
2022-11-03,0.9817,0.9841,0.9731,0.9751
2022-11-04,0.975,0.9969,0.9744,0.996
2022-11-07,0.9984,1.0035,0.9899,1.0022
2022-11-08,1.0023,1.0098,0.9974,1.0075
2022-11-09,1.0074,1.0089,0.9994,1.0014
2022-11-10,1.0012,1.0222,0.9936,1.0209
2022-11-11,1.021,1.0366,1.0165,1.0354
2022-11-14,1.0373,1.0373,1.0272,1.0329
2022-11-15,1.0328,1.0481,1.0282,1.035
2022-11-16,1.0349,1.044,1.0332,1.0396
2022-11-17,1.0395,1.0407,1.0306,1.0366
2022-11-18,1.0365,1.0397,1.0314,1.0326
2022-11-21,1.0346,1.0346,1.0224,1.0243
2022-11-22,1.0242,1.0309,1.024,1.0306
2022-11-23,1.0305,1.0406,1.0298,1.0395
2022-11-24,1.0397,1.045,1.0383,1.0413
2022-11-25,1.0411,1.0431,1.0355,1.04
2022-11-28,1.0415,1.0498,1.0331,1.034
2022-11-29,1.0341,1.0396,1.0321,1.0331
2022-11-30,1.033,1.043,1.0292,1.041
2022-12-01,1.0408,1.0535,1.0395,1.0527
2022-12-02,1.0525,1.0547,1.0429,1.0543
2022-12-05,1.0538,1.0596,1.0481,1.0493
2022-12-06,1.049,1.0535,1.046,1.0466
2022-12-07,1.0468,1.0551,1.0444,1.0507
2022-12-08,1.051,1.0565,1.049,1.0555
2022-12-09,1.0556,1.059,1.0515,1.0534
2022-12-12,1.0547,1.0582,1.0507,1.0539
2022-12-13,1.054,1.0675,1.0529,1.0634
2022-12-14,1.0633,1.0696,1.062,1.0682
2022-12-15,1.0683,1.0732,1.0593,1.0629
2022-12-16,1.0627,1.0664,1.0344,1.0587
