DATETIME,OPEN,HIGH,LOW,CLOSE
2020-08-24,1.1798,1.1851,1.1785,1.1789
2020-08-25,1.1791,1.1845,1.1785,1.1836
2020-08-26,1.1835,1.1843,1.1773,1.1832
2020-08-27,1.1831,1.1901,1.1766,1.1822
2020-08-28,1.1823,1.1921,1.1812,1.1907
2020-08-31,1.1906,1.1966,1.1886,1.1937
2020-09-01,1.1936,1.2012,1.1902,1.1913
2020-09-02,1.1914,1.193,1.1823,1.1857
2020-09-03,1.1852,1.1866,1.1791,1.1854
2020-09-04,1.1852,1.1867,1.1781,1.1841
2020-09-07,1.1839,1.1852,1.1812,1.1816
2020-09-08,1.1815,1.1829,1.1766,1.1775
2020-09-09,1.1776,1.1833,1.1754,1.1804
2020-09-10,1.1806,1.1917,1.1801,1.1816
2020-09-11,1.1815,1.1875,1.1814,1.1848
2020-09-14,1.1843,1.1889,1.1833,1.1863
2020-09-15,1.1866,1.1902,1.1841,1.1847
2020-09-16,1.1848,1.1884,1.179,1.1817
2020-09-17,1.1818,1.1854,1.1742,1.185
2020-09-18,1.1849,1.1872,1.183,1.1842
2020-09-21,1.184,1.1874,1.1732,1.1772
2020-09-22,1.177,1.1776,1.1693,1.1709
2020-09-23,1.171,1.172,1.1653,1.1662
2020-09-24,1.166,1.1689,1.1627,1.167
2020-09-25,1.1669,1.1686,1.1613,1.1632
2020-09-28,1.1633,1.1682,1.1616,1.1667
2020-09-29,1.1668,1.1747,1.1663,1.1744
2020-09-30,1.1746,1.1757,1.1686,1.1722
2020-10-01,1.1721,1.1771,1.1718,1.1747
2020-10-02,1.1746,1.1751,1.1697,1.1718
2020-10-05,1.1716,1.1799,1.171,1.1787
2020-10-06,1.1784,1.1809,1.1732,1.1734
2020-10-07,1.1736,1.1783,1.1726,1.1767
2020-10-08,1.1764,1.1783,1.1734,1.1761
2020-10-09,1.1763,1.1833,1.1754,1.1832
2020-10-12,1.1827,1.1828,1.1787,1.1814
2020-10-13,1.1815,1.1819,1.1731,1.1745
2020-10-14,1.1746,1.1772,1.1721,1.1748
2020-10-15,1.1747,1.176,1.1689,1.1709
2020-10-16,1.1707,1.1747,1.1694,1.1718
2020-10-19,1.1717,1.1795,1.1704,1.1772
2020-10-20,1.177,1.1842,1.1761,1.1824
2020-10-21,1.1822,1.1882,1.1822,1.1862
2020-10-22,1.186,1.1868,1.1813,1.1821
2020-10-23,1.1819,1.1867,1.1787,1.1862
2020-10-26,1.1862,1.1862,1.1803,1.181
2020-10-27,1.1809,1.184,1.1794,1.1797
2020-10-28,1.1796,1.18,1.1718,1.1747
2020-10-29,1.1748,1.176,1.1651,1.1674
2020-10-30,1.1675,1.1706,1.1641,1.1647
2020-11-02,1.1678,1.1678,1.1623,1.1641
2020-11-03,1.164,1.1741,1.1635,1.1722
2020-11-04,1.1721,1.1768,1.1606,1.1723
2020-11-05,1.1724,1.1861,1.1712,1.1831
2020-11-06,1.183,1.1892,1.1796,1.1876
2020-11-09,1.1874,1.1921,1.1797,1.1816
2020-11-10,1.1815,1.1844,1.178,1.1815
2020-11-11,1.1818,1.1835,1.1747,1.1778
2020-11-12,1.178,1.1824,1.1759,1.1805
2020-11-13,1.1807,1.1838,1.1799,1.1838
2020-11-16,1.1834,1.1869,1.1815,1.1854
2020-11-17,1.1855,1.1895,1.1845,1.1863
2020-11-18,1.1862,1.1892,1.185,1.1856
2020-11-19,1.1857,1.1884,1.1819,1.1874
2020-11-20,1.1875,1.1892,1.185,1.1856
2020-11-23,1.1858,1.1908,1.1803,1.1842
2020-11-24,1.1841,1.1897,1.1838,1.1894
2020-11-25,1.1892,1.1929,1.1883,1.1916
2020-11-26,1.1917,1.1943,1.1886,1.1914
2020-11-27,1.1913,1.1966,1.1908,1.1963
2020-11-30,1.1965,1.2004,1.1924,1.1926
2020-12-01,1.1927,1.2077,1.1927,1.2072
2020-12-02,1.2071,1.212,1.2041,1.2118
