DATETIME,OPEN,HIGH,LOW,CLOSE
2020-08-24,1.3089,1.3149,1.3053,1.3063
2020-08-25,1.3064,1.3171,1.3058,1.3151
2020-08-26,1.3153,1.322,1.3117,1.321
2020-08-27,1.3209,1.3282,1.3163,1.3201
2020-08-28,1.3202,1.3356,1.3187,1.3352
2020-08-31,1.3352,1.3394,1.3301,1.3368
2020-09-01,1.337,1.3483,1.3356,1.3383
2020-09-02,1.3384,1.3403,1.3283,1.3352
2020-09-03,1.3351,1.3357,1.3243,1.328
2020-09-04,1.3275,1.332,1.3176,1.3281
2020-09-07,1.3279,1.3279,1.3142,1.3168
2020-09-08,1.3166,1.3173,1.298,1.2982
2020-09-09,1.2981,1.3024,1.2886,1.3001
2020-09-10,1.3003,1.3036,1.2776,1.2809
2020-09-11,1.281,1.2859,1.2763,1.2796
2020-09-14,1.2796,1.2919,1.2776,1.2845
2020-09-15,1.2847,1.2926,1.2816,1.289
2020-09-16,1.2888,1.3008,1.2875,1.2969
2020-09-17,1.2967,1.299,1.2866,1.2974
2020-09-18,1.2977,1.2999,1.2914,1.2919
2020-09-21,1.2921,1.2966,1.2776,1.2815
2020-09-22,1.2817,1.2863,1.2712,1.2735
2020-09-23,1.2737,1.2776,1.2677,1.2726
2020-09-24,1.2723,1.2778,1.2691,1.2744
2020-09-25,1.2745,1.2806,1.2688,1.2746
2020-09-28,1.2745,1.2922,1.2745,1.2834
2020-09-29,1.2832,1.2903,1.2825,1.2858
2020-09-30,1.2859,1.2942,1.2806,1.2923
2020-10-01,1.2924,1.2979,1.282,1.2887
2020-10-02,1.2888,1.2955,1.2838,1.2933
2020-10-05,1.2937,1.2992,1.29,1.2983
2020-10-06,1.298,1.3008,1.2867,1.2874
2020-10-07,1.2876,1.293,1.2849,1.2919
2020-10-08,1.2918,1.2971,1.2892,1.2939
2020-10-09,1.2938,1.305,1.2924,1.3047
2020-10-12,1.3049,1.3081,1.3005,1.3066
2020-10-13,1.3067,1.3077,1.2923,1.2935
2020-10-14,1.2936,1.3066,1.2863,1.301
2020-10-15,1.3012,1.303,1.289,1.2905
2020-10-16,1.2903,1.2962,1.2869,1.2916
2020-10-19,1.2916,1.3024,1.2898,1.2947
2020-10-20,1.2945,1.2979,1.2911,1.2949
2020-10-21,1.2948,1.3176,1.2939,1.3147
2020-10-22,1.3146,1.3153,1.307,1.3083
2020-10-23,1.3084,1.3122,1.3019,1.3042
2020-10-26,1.3046,1.3074,1.2993,1.3024
2020-10-27,1.3025,1.308,1.3,1.3046
2020-10-28,1.3045,1.3064,1.2917,1.2983
2020-10-29,1.2985,1.3026,1.2881,1.293
2020-10-30,1.2929,1.2988,1.2899,1.295
2020-11-02,1.2948,1.2948,1.2856,1.2919
2020-11-03,1.2918,1.3078,1.2904,1.3064
2020-11-04,1.3062,1.3137,1.2914,1.2989
2020-11-05,1.2988,1.3155,1.2933,1.3148
2020-11-06,1.3146,1.3177,1.3094,1.3152
2020-11-09,1.3158,1.3208,1.3119,1.3164
2020-11-10,1.3165,1.3278,1.3156,1.3271
2020-11-11,1.3272,1.3295,1.3191,1.3226
2020-11-12,1.3223,1.3229,1.3107,1.312
2020-11-13,1.3119,1.3201,1.311,1.3199
2020-11-16,1.3182,1.3238,1.3165,1.32
2020-11-17,1.3202,1.3273,1.3191,1.3249
2020-11-18,1.3247,1.3312,1.3243,1.3268
2020-11-19,1.3269,1.328,1.3198,1.3264
2020-11-20,1.3253,1.3296,1.3246,1.3283
2020-11-23,1.3268,1.3398,1.3265,1.3323
2020-11-24,1.3324,1.338,1.3295,1.3363
2020-11-25,1.3361,1.3394,1.3305,1.3387
2020-11-26,1.3388,1.3398,1.3322,1.3358
2020-11-27,1.3359,1.3382,1.329,1.3314
2020-11-30,1.3315,1.3382,1.3305,1.3325
2020-12-01,1.3322,1.3441,1.3317,1.342
2020-12-02,1.343,1.3441,1.3289,1.3367
2020-12-03,1.3365,1.35,1.3353,1.345
2020-12-04,1.3449,1.3538,1.3416,1.3437
2020-12-07,1.3441,1.3477,1.3225,1.3381
2020-12-08,1.3379,1.3384,1.329,1.3358
2020-12-09,1.3355,1.3476,1.3353,1.3406
2020-12-10,1.3401,1.3413,1.3246,1.3294
2020-12-11,1.3293,1.3325,1.3135,1.3227
2020-12-14,1.3226,1.3445,1.3226,1.3331
2020-12-15,1.3326,1.347,1.328,1.3466
2020-12-16,1.3464,1.3551,1.3434,1.3509
2020-12-17,1.351,1.3625,1.3495,1.3583
2020-12-18,1.3584,1.3589,1.3474,1.3531
2020-12-21,1.3423,1.3493,1.3189,1.3467
2020-12-22,1.3468,1.3473,1.3306,1.3365
2020-12-23,1.3364,1.356,1.3357,1.3496
2020-12-24,1.3495,1.362,1.3491,1.3553
2020-12-25,1.3556,1.3609,1.3515,1.3563
2020-12-28,1.3553,1.3576,1.3294,1.345
2020-12-29,1.3454,1.3522,1.3445,1.3503
2020-12-30,1.3504,1.3627,1.3493,1.3625
2020-12-31,1.3624,1.3686,1.3605,1.3665
2021-01-01,1.3671,1.3692,1.3663,1.3673
2021-01-04,1.3676,1.3704,1.3542,1.3574
2021-01-05,1.3573,1.3643,1.3554,1.3627
2021-01-06,1.3626,1.3671,1.3543,1.361
2021-01-07,1.3609,1.3633,1.3534,1.3564
2021-01-08,1.3566,1.3634,1.3539,1.3566
2021-01-11,1.3566,1.3575,1.3452,1.3513
2021-01-12,1.3518,1.3669,1.3505,1.3665
