DATETIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-01-01,0.000155,0.000159,0.000149,0.000158,365.0
2020-01-02,0.000158,0.000159,0.000145,0.000145,361.0
2020-01-03,0.000146,0.00015,0.000139,0.00014,453.0
2020-01-04,0.00014,0.000144,0.000139,0.000141,354.0
2020-01-05,0.000141,0.000142,0.000137,0.00014,324.0
2020-01-06,0.00014,0.000137,0.000136,0.000136,378.0
2020-01-07,0.000136,0.000147,0.000133,0.000134,574.0
2020-01-08,0.000134,0.000137,0.000124,0.000133,384.0
2020-01-09,0.000133,0.000134,0.000129,0.000131,324.0
2020-01-10,0.000131,0.00013,0.000128,0.000128,249.0
2020-01-11,0.000128,0.000129,0.000127,0.000128,257.0
2020-01-12,0.000128,0.000128,0.000127,0.000126,200.0
2020-01-13,0.000127,0.000127,0.000124,0.000125,231.0
2020-01-14,0.000125,0.000119,0.000115,0.000115,335.0
2020-01-15,0.000115,0.000122,0.000115,0.000116,325.0
2020-01-16,0.000116,0.000131,0.000118,0.000126,541.0
2020-01-17,0.000126,0.000129,0.000126,0.000125,300.0
2020-01-18,0.000125,0.000125,0.000117,0.000119,244.0
2020-01-19,0.000119,0.000121,0.000113,0.00012,238.0
2020-01-20,0.00012,0.000124,0.00012,0.000123,201.0
2020-01-21,0.000123,0.000124,0.00012,0.000124,224.0
2020-01-22,0.000123,0.000124,0.000121,0.000123,178.0
2020-01-23,0.000123,0.000134,0.000126,0.000129,361.0
2020-01-24,0.000129,0.000131,0.000127,0.000126,207.0
2020-01-25,0.000126,0.000134,0.000127,0.000134,297.0
2020-01-26,0.000134,0.000135,0.00013,0.000129,216.0
2020-01-27,0.000129,0.000129,0.000124,0.000123,370.0
2020-01-28,0.000123,0.000124,0.000117,0.000115,310.0
2020-01-29,0.000115,0.000114,0.000111,0.000112,259.0
2020-01-30,0.000112,0.000115,0.000112,0.00011,261.0
2020-01-31,0.00011,0.000119,0.000113,0.000113,414.0
2020-02-01,0.000113,0.000115,0.000112,0.000113,286.0
2020-02-02,0.000112,0.000113,0.000112,0.000112,286.0
2020-02-03,0.000112,0.000112,0.000112,0.000113,300.0
2020-02-04,0.000113,0.000129,0.000112,0.000125,761.0
2020-02-05,0.000125,0.00013,0.000115,0.000125,646.0
2020-02-06,0.000125,0.00014,0.000125,0.000132,510.0
2020-02-07,0.000132,0.000139,0.000126,0.000126,338.0
2020-02-08,0.000126,0.000126,0.000119,0.000117,389.0
2020-02-09,0.000117,0.000122,0.000117,0.000118,407.0
2020-02-10,0.000118,0.000119,0.000116,0.000118,432.0
2020-02-11,0.000118,0.000115,0.000117,0.000115,348.0
2020-02-12,0.000115,0.000125,0.000113,0.000119,664.0
2020-02-13,0.000119,0.00012,0.000114,0.000114,376.0
2020-02-14,0.000114,0.000118,0.000113,0.000117,385.0
2020-02-15,0.000117,0.000119,0.000111,0.000112,364.0
2020-02-16,0.000112,0.000113,9.6e-05,0.000105,428.0
2020-02-17,0.000106,0.000106,9.7e-05,0.000101,371.0
2020-02-18,0.000101,0.000108,9.6e-05,9.6e-05,652.0
2020-02-19,9.6e-05,9.8e-05,8.8e-05,8.9e-05,583.0
2020-02-20,8.9e-05,9.3e-05,8.7e-05,9.2e-05,520.0
2020-02-21,9.2e-05,9.7e-05,9e-05,9.1e-05,297.0
2020-02-22,9.1e-05,9.3e-05,9e-05,9.1e-05,200.0
2020-02-23,9.1e-05,9.9e-05,9.1e-05,9.6e-05,328.0
2020-02-24,9.6e-05,9.7e-05,9e-05,9.1e-05,323.0
2020-02-25,9.2e-05,9.4e-05,8.9e-05,9e-05,228.0
2020-02-26,9.1e-05,0.000101,8.4e-05,9.5e-05,544.0
2020-02-27,9.5e-05,9.9e-05,9.3e-05,9.5e-05,292.0
2020-02-28,9.5e-05,9.8e-05,9.4e-05,9.4e-05,263.0
2020-02-29,9.4e-05,9.7e-05,9.3e-05,9.5e-05,234.0
2020-03-01,9.5e-05,9.9e-05,9.5e-05,9.7e-05,229.0
2020-03-02,9.7e-05,9.8e-05,9.6e-05,9.6e-05,247.0
2020-03-03,9.6e-05,0.000104,9.6e-05,0.0001,403.0
2020-03-04,0.0001,0.00012,9.9e-05,0.000105,462.0
2020-03-05,0.000105,0.000108,0.0001,0.000102,493.0
2020-03-06,0.000102,0.000103,9.8e-05,9.8e-05,300.0
2020-03-07,9.8e-05,0.000103,9.6e-05,9.6e-05,389.0
2020-03-08,9.6e-05,0.000109,0.0001,0.0001,818.0
2020-03-09,0.0001,0.000107,0.000102,0.000104,517.0
2020-03-10,0.000104,0.000117,9.9e-05,0.000113,869.0
2020-03-11,0.000114,0.000125,0.000106,0.000111,1016.0
2020-03-12,0.000111,0.000112,7.8e-05,8.3e-05,967.0
2020-03-13,8.3e-05,8.5e-05,7.2e-05,8e-05,465.0
2020-03-14,8e-05,8.5e-05,7.7e-05,7.8e-05,291.0
2020-03-15,7.8e-05,8.4e-05,7.7e-05,7.7e-05,294.0
2020-03-16,7.7e-05,7.8e-05,6.8e-05,6.9e-05,250.0
2020-03-17,6.9e-05,7.5e-05,6.8e-05,7.3e-05,212.0
2020-03-18,7.2e-05,7.3e-05,6.8e-05,7.2e-05,249.0
2020-03-19,7.2e-05,7.1e-05,7e-05,6.9e-05,291.0
2020-03-20,6.9e-05,7.3e-05,6.5e-05,6.8e-05,286.0
2020-03-21,6.8e-05,7e-05,6.7e-05,6.8e-05,179.0
2020-03-22,6.8e-05,7e-05,6.6e-05,6.7e-05,182.0
2020-03-23,6.7e-05,6.9e-05,6.5e-05,6.8e-05,261.0
2020-03-24,6.8e-05,6.9e-05,6.5e-05,6.6e-05,200.0
2020-03-25,6.5e-05,7.7e-05,6.5e-05,7.7e-05,812.0
2020-03-26,7.7e-05,8.2e-05,7.2e-05,7.5e-05,964.0
2020-03-27,7.6e-05,7.7e-05,7.2e-05,7.2e-05,604.0
2020-03-28,7.2e-05,7.6e-05,7.1e-05,7.3e-05,911.0
2020-03-29,7.3e-05,7.3e-05,7e-05,7.2e-05,625.0
2020-03-30,7.2e-05,7.8e-05,7.2e-05,7.3e-05,867.0
2020-03-31,7.3e-05,8e-05,7.3e-05,7.6e-05,707.0
2020-04-01,7.6e-05,8e-05,7.3e-05,7.4e-05,707.0
2020-04-02,7.4e-05,8e-05,7.2e-05,7.5e-05,1086.0
2020-04-03,7.5e-05,7.8e-05,7.4e-05,7.6e-05,858.0
2020-04-04,7.6e-05,7.6e-05,7.3e-05,7.5e-05,1721.0
2020-04-05,7.5e-05,8.4e-05,7.4e-05,8e-05,1540.0
2020-04-06,7.9e-05,8.2e-05,7.8e-05,8.2e-05,2339.0
2020-04-07,8.2e-05,8.3e-05,7.8e-05,7.9e-05,1627.0
2020-04-08,7.9e-05,7.9e-05,7.7e-05,7.8e-05,831.0
2020-04-09,7.8e-05,7.9e-05,7.5e-05,7.6e-05,700.0
2020-04-10,7.6e-05,7.6e-05,7.2e-05,7.3e-05,783.0
2020-04-11,7.3e-05,7.4e-05,7.1e-05,7.2e-05,587.0
2020-04-12,7.2e-05,7.5e-05,7.1e-05,7.5e-05,749.0
2020-04-13,7.4e-05,7.4e-05,7.2e-05,7.4e-05,762.0
2020-04-14,7.4e-05,8.1e-05,7.4e-05,7.6e-05,1007.0
2020-04-15,7.6e-05,7.6e-05,7.5e-05,7.5e-05,1144.0
2020-04-16,7.5e-05,7.6e-05,7.2e-05,7.4e-05,1230.0
2020-04-17,7.4e-05,7.5e-05,7.3e-05,7.4e-05,1347.0
2020-04-18,7.4e-05,7.8e-05,7.3e-05,7.8e-05,1900.0
2020-04-19,7.8e-05,7.8e-05,7.4e-05,7.6e-05,1880.0
2020-04-20,7.6e-05,7.7e-05,7.5e-05,7.7e-05,1980.0
2020-04-21,7.7e-05,7.7e-05,7.5e-05,7.7e-05,1579.0
2020-04-22,7.7e-05,7.6e-05,7.5e-05,7.4e-05,1175.0
2020-04-23,7.4e-05,7.3e-05,7.4e-05,7.1e-05,913.0
2020-04-24,7.1e-05,7.3e-05,7.1e-05,7.3e-05,2016.0
2020-04-25,7.3e-05,7.6e-05,7.2e-05,7.6e-05,1723.0
2020-04-26,7.6e-05,8.2e-05,7.5e-05,8e-05,1824.0
2020-04-27,8e-05,8.2e-05,7.4e-05,7.7e-05,1619.0
