DATETIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-01,5.1918,5.261708,5.144248,5.251564,101973719
2023-01-02,5.251863,5.377173,5.199504,5.32714,168374128
2023-01-03,5.327379,5.352683,5.295433,5.331378,172890513
2023-01-04,5.331232,5.506127,5.320049,5.472448,193991024
2023-01-05,5.472799,5.474058,5.350968,5.368008,158678610
2023-01-06,5.369043,5.361974,5.297444,5.355303,156531670
2023-01-07,5.355429,5.468661,5.343591,5.46649,131292251
2023-01-08,5.466703,5.564917,5.413947,5.564289,139955446
2023-01-09,5.564164,5.795494,5.564164,5.657766,313708977
2023-01-10,5.656982,5.83491,5.605001,5.730495,197000111
2023-01-11,5.730821,5.838183,5.615768,5.838183,197580851
2023-01-12,5.909984,5.89391,5.693718,5.876051,309938583
2023-01-13,5.876644,6.087603,5.818326,6.08655,245369053
2023-01-14,6.085941,6.531764,6.083386,6.326665,531812632
2023-01-15,6.327504,6.365235,6.107794,6.185082,362229132
2023-01-16,6.184976,6.378246,5.983041,6.155069,364696849
2023-01-17,6.155665,6.438929,6.102725,6.321391,341108630
2023-01-18,6.320038,6.459632,5.874856,5.880841,410688070
2023-01-19,5.880484,6.024675,5.858311,6.012779,201846846
2023-01-20,6.01249,6.390948,5.93539,6.390471,237982746
2023-01-21,6.391004,6.52163,6.314219,6.316163,342176440
2023-01-22,6.317283,6.635591,6.274658,6.429413,365669356
2023-01-23,6.429198,6.614344,6.402925,6.462956,352043676
2023-01-24,6.461213,6.595277,6.101263,6.115127,288972493
2023-01-25,6.115863,6.476794,6.014536,6.373403,311496669
2023-01-26,6.37266,6.65948,6.289609,6.585819,352300506
2023-01-27,6.585678,6.876931,6.426791,6.78036,376871818
2023-01-28,6.780575,6.882011,6.575888,6.62918,227510171
2023-01-29,6.629175,6.854784,6.590052,6.795231,286614555
2023-01-30,6.795131,6.823882,6.293238,6.365011,284177905
2023-01-31,6.365816,6.497594,6.338605,6.401359,201678824
2023-02-01,6.400682,6.596596,6.14397,6.55294,283730332
2023-02-02,6.551838,6.83839,6.512277,6.512925,308371862
2023-02-03,6.512878,6.736461,6.461095,6.747107,255874507
2023-02-04,6.747,6.790196,6.614897,6.694817,195851125
2023-02-05,6.694989,6.703169,6.404458,6.473664,210784454
2023-02-06,6.474597,6.561302,6.341207,6.367827,201835686
2023-02-07,6.367767,6.714024,6.362693,6.70849,247836380
2023-02-08,6.70862,6.765957,6.526677,6.645962,287206882
2023-02-09,6.646986,7.207251,6.439755,6.502345,1027228173
2023-02-10,6.502266,6.600448,6.413292,6.457805,422143279
2023-02-11,6.457945,6.572275,6.4301,6.555014,189124526
2023-02-12,6.554834,6.595454,6.317522,6.376002,226313640
2023-02-13,6.375676,6.399809,6.042494,6.21724,332810461
2023-02-14,6.216874,6.349549,6.120631,6.340101,261298257
2023-02-15,6.339977,6.814317,6.284611,6.800322,318076188
